word,language,category,severity,variants,action
putang ina,Filipino/Tagalog,profanity,high,PUTANG INA | Putang Ina | p u t a n g i n a | p utangina | p*******a | put4ng1n4 | put4ngin4 | put@ng in@ | put@ng1n@ | putang 1na | putang ina | putang-ina,block_and_flag
p u t a n g i n a,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
p utangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
puta,Filipino/Tagalog,profanity,high,PUTA | Puta | p u t a | p uta | p**a | put4 | put@ | puta,block_and_flag
p u t a,Filipino/Tagalog,profanity,high,puta,block_and_flag
p uta,Filipino/Tagalog,profanity,high,puta,block_and_flag
pota,Filipino/Tagalog,profanity,high,POTA | Pota | p o t a | p ota | p**a | p0t@ | p0ta | pot4 | pot@ | pota,block_and_flag
p o t a,Filipino/Tagalog,profanity,high,pota,block_and_flag
p ota,Filipino/Tagalog,profanity,high,pota,block_and_flag
tanga,Filipino/Tagalog,insult,medium,TANGA | Tanga | t a n g a | t anga | t***a | t4ng4 | t@ng@ | tanga,warn_and_log
t a n g a,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t anga,Filipino/Tagalog,insult,medium,tanga,warn_and_log
bobo,Filipino/Tagalog,insult,medium,BOBO | Bobo | b o b o | b obo | b**o | b0b0 | bobo,warn_and_log
b o b o,Filipino/Tagalog,insult,medium,bobo,warn_and_log
b obo,Filipino/Tagalog,insult,medium,bobo,warn_and_log
gago,Filipino/Tagalog,insult,high,GAGO | Gago | g a g o | g ago | g**o | g4go | g@g0 | g@go | gag0 | gago,block_and_flag
g a g o,Filipino/Tagalog,insult,high,gago,block_and_flag
g ago,Filipino/Tagalog,insult,high,gago,block_and_flag
tarantado,Filipino/Tagalog,insult,high,TARANTADO | Tarantado | t a r a n t a d o | t arantado | t*******o | t4r4nt4do | t@r@nt@d0 | t@r@nt@do | tarantad0 | tarantado,block_and_flag
t a r a n t a d o,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t arantado,Filipino/Tagalog,insult,high,tarantado,block_and_flag
ulol,Filipino/Tagalog,insult,high,ULOL | Ulol | u l o l | u lol | u**l | ul0l | ulol,block_and_flag
u l o l,Filipino/Tagalog,insult,high,ulol,block_and_flag
u lol,Filipino/Tagalog,insult,high,ulol,block_and_flag
leche,Filipino/Tagalog,profanity,medium,LECHE | Leche | l e c h e | l eche | l***e | l3ch3 | leche,warn_and_log
l e c h e,Filipino/Tagalog,profanity,medium,leche,warn_and_log
l eche,Filipino/Tagalog,profanity,medium,leche,warn_and_log
bwisit,Filipino/Tagalog,profanity,medium,BWISIT | Bwisit | b w i s i t | b wisit | b****t | bw1s1t | bwi$it | bwi5it | bwisit,warn_and_log
b w i s i t,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
b wisit,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
walang hiya,Filipino/Tagalog,insult,medium,WALANG HIYA | Walang Hiya | w a l a n g h i y a | w alanghiya | w********a | w4l4ngh1y4 | w4l4nghiy4 | w@l@ng hiy@ | w@l@ngh1y@ | walang h1ya | walang hiya | walang-hiya,warn_and_log
w a l a n g h i y a,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w alanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
sira ulo,Filipino/Tagalog,insult,medium,$ira ulo | 5iraulo | SIRA ULO | Sira Ulo | s i r a u l o | s iraulo | s*****o | s1r4ulo | s1r@ul0 | s1ra ul0 | s1ra ulo | s1raulo,warn_and_log
s i r a u l o,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s iraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
